Urutan,id_cust,Status,Cukur_ke,Capster,Hari,Tanggal,keterangan,Bayar,Haircut,Haircolor,Creambath,Shaving,Vitamin,Powder A,Powder B,Pomade 1,Pomade 2,Pomade 3,Pomade 4,Pomade 5,Pomade 6,Pomade 7,Pomade 8,Pomade 9,Conditioner,Hairtonic,Total Payment
1,26908171Haety,baru,1,irh,senin,16/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
2,26924970Riand,baru,1,irh,senin,16/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
3,25789556Buawa,baru,1,irh,senin,16/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
4,26770753Litan,baru,1,irh,selasa,17/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
5,26770753Tatan,baru,1,irh,selasa,17/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
6,25513197Saali,baru,1,irh,selasa,17/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
7,27571740Yuman,baru,1,irh,selasa,17/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
8,2790055Ar ED,baru,1,irh,selasa,17/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
9,2550835Fehab,baru,1,irh,rabu,18/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
10,26770753Tatan,lama,2,irh,rabu,18/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
11,25613888Is'ru,baru,1,irh,rabu,18/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
12,26910801Krisn,baru,1,irh,rabu,18/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
13,25507442Imhaj,baru,1,irh,rabu,18/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
14,25659258Hunay,baru,1,irh,kamis,19/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
15,25509243Iqqba,baru,1,irh,kamis,19/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
16,25509243RaRak,baru,1,irh,kamis,19/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
17,25821431Chven,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
18,25507410Teto ,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
19,26920300ApAp,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
20,27586768Adawa,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
21,25508119AdAd,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
22,26920163Adind,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
23,2551397ReHad,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
24,2688797Atala,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
25,25507443Teega,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
26,27585946RoRoz,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
27,26880842M.lla,baru,1,irh,sabtu,21/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
28,25519352Shole,baru,1,irh,minggu,22/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
29,25507093Joant,baru,1,irh,minggu,22/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
30,25538419ToTon,baru,1,irh,minggu,22/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
31,26880934Lukor,baru,1,irh,minggu,22/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
32,26739858DaDaf,baru,1,irh,senin,23/08/2021,,Cash,30000,,,,,,,,,,,,,,,,,,30000
